customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,Churn
CUST-0000,Male,0,No,Yes,57,No,Yes,Fiber optic,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,45.99,376.64,1,No
CUST-0001,Female,0,No,Yes,7,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,One year,No,Credit card (automatic),43.81,7043.8,7,No
CUST-0002,Male,0,No,No,56,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),117.51,4807.9,6,No
CUST-0003,Male,0,No,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,105.98,2768.01,2,No
CUST-0004,Male,0,Yes,Yes,16,Yes,No,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),100.6,1114.93,5,Yes
CUST-0005,Female,0,Yes,No,51,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,31.06,4220.49,5,Yes
CUST-0006,Male,1,No,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.03,4578.32,9,Yes
CUST-0007,Male,0,Yes,No,53,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,39.88,6112.32,4,No
CUST-0008,Male,1,No,Yes,5,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,One year,No,Mailed check,117.69,8438.99,7,No
CUST-0009,Female,0,Yes,No,27,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,23.31,3794.2,4,No
CUST-0010,Male,0,No,Yes,12,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,53.92,3543.19,6,Yes
CUST-0011,Male,0,No,Yes,17,Yes,No,DSL,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,61.72,3229.73,5,Yes
CUST-0012,Male,1,Yes,No,6,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),102.07,7197.35,6,Yes
CUST-0013,Male,1,Yes,Yes,5,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),96.15,1375.15,8,Yes
CUST-0014,Female,0,No,No,57,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,56.25,3002.98,2,No
CUST-0015,Male,0,No,No,28,Yes,No,No,No internet service,No,No,No,Yes,No,Two year,No,Credit card (automatic),75.69,6312.2,9,No
CUST-0016,Female,0,Yes,No,69,Yes,No phone service,No,No,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),103.23,154.26,6,No
CUST-0017,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),19.86,2530.4,9,No
CUST-0018,Female,1,No,Yes,33,Yes,No,No,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),99.82,5587.04,2,Yes
CUST-0019,Male,0,Yes,No,62,Yes,Yes,No,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),114.58,1632.44,1,Yes
CUST-0020,Female,0,No,No,50,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,Yes,One year,No,Electronic check,21.27,2646.13,6,No
CUST-0021,Male,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),22.65,4237.84,3,No
CUST-0022,Female,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),53.14,3682.01,0,Yes
CUST-0023,Female,1,No,Yes,66,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),26.95,938.53,5,No
CUST-0024,Female,0,Yes,No,47,Yes,Yes,No,Yes,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),66.89,8163.76,5,No
CUST-0025,Female,0,Yes,Yes,39,Yes,No,No,Yes,No,No internet service,No,Yes,No internet service,Two year,Yes,Mailed check,92.33,402.55,5,No
CUST-0026,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),75.82,6527.27,1,No
CUST-0027,Female,0,Yes,No,33,No,Yes,No,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),38.04,638.09,0,Yes
CUST-0028,Female,0,Yes,Yes,13,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),84.79,4075.06,2,Yes
CUST-0029,Female,1,Yes,No,54,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Mailed check,87.86,1540.92,1,No
CUST-0030,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,113.11,1243.01,5,Yes
CUST-0031,Male,1,No,No,14,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),32.97,1111.05,5,Yes
CUST-0032,Female,1,Yes,No,19,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),88.62,3949.09,4,No
CUST-0033,Female,0,Yes,No,54,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,One year,No,Electronic check,110.97,4493.44,9,No
